[QueueMonitor] 2025-07-01 02:01:29 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=852 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:30 | avg= 0.50 | max=10 | min= 0 | latest=10 | zero=859 | zero_ratio= 94.50%
[QueueMonitor] 2025-07-01 02:01:31 | avg=10.00 | max=10 | min=10 | latest=10 | zero=  0 | zero_ratio=  0.00%
[QueueMonitor] 2025-07-01 02:01:32 | avg= 9.30 | max=10 | min= 6 | latest= 9 | zero=  0 | zero_ratio=  0.00%
[QueueMonitor] 2025-07-01 02:01:33 | avg= 3.11 | max= 9 | min= 0 | latest= 0 | zero=561 | zero_ratio= 60.71%
[QueueMonitor] 2025-07-01 02:01:34 | avg= 2.30 | max=10 | min= 0 | latest= 9 | zero=683 | zero_ratio= 73.28%
[QueueMonitor] 2025-07-01 02:01:35 | avg= 4.83 | max= 9 | min= 0 | latest= 0 | zero=372 | zero_ratio= 40.48%
[QueueMonitor] 2025-07-01 02:01:36 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=926 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:37 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=929 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:38 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=941 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:39 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=942 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:40 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=923 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:41 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=924 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:42 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=928 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:43 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=942 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:44 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=942 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:45 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=926 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:46 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=928 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:47 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=930 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:48 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=922 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 02:01:49 | avg= 5.89 | max=10 | min= 0 | latest= 9 | zero=293 | zero_ratio= 31.30%
[QueueMonitor] 2025-07-01 02:01:50 | avg= 8.57 | max= 9 | min= 8 | latest= 9 | zero=  0 | zero_ratio=  0.00%
[QueueMonitor] 2025-07-01 02:01:51 | avg= 7.02 | max= 9 | min= 0 | latest= 0 | zero=140 | zero_ratio= 14.94%
[QueueMonitor] 2025-07-01 02:01:52 | avg= 0.51 | max=10 | min= 0 | latest= 8 | zero=885 | zero_ratio= 94.05%
[QueueMonitor] 2025-07-01 02:01:53 | avg= 8.56 | max= 9 | min= 8 | latest= 9 | zero=  0 | zero_ratio=  0.00%
[QueueMonitor] 2025-07-01 02:01:54 | avg= 8.55 | max= 9 | min= 7 | latest= 8 | zero=  0 | zero_ratio=  0.00%
[QueueMonitor] 2025-07-01 02:01:55 | avg= 3.70 | max= 9 | min= 0 | latest= 0 | zero=495 | zero_ratio= 53.86%
[QueueMonitor] 2025-07-01 02:01:56 | avg= 1.05 | max=10 | min= 0 | latest= 8 | zero=811 | zero_ratio= 87.87%
[QueueMonitor] 2025-07-01 02:01:57 | avg= 8.56 | max= 9 | min= 7 | latest= 8 | zero=  0 | zero_ratio=  0.00%
[QueueMonitor] 2025-07-01 02:01:58 | avg= 8.55 | max= 9 | min= 8 | latest= 9 | zero=  0 | zero_ratio=  0.00%
[QueueMonitor] 2025-07-01 02:01:59 | avg= 3.30 | max= 9 | min= 0 | latest= 0 | zero=543 | zero_ratio= 58.39%
[QueueMonitor] 2025-07-01 02:02:00 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=940 | zero_ratio=100.00%
