[QueueMonitor] 2025-07-01 00:25:27 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=857 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:25:28 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=929 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:25:29 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=934 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:25:30 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=919 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:25:31 | avg= 3.46 | max=10 | min= 0 | latest=10 | zero=572 | zero_ratio= 65.07%
[QueueMonitor] 2025-07-01 00:25:32 | avg= 9.94 | max=10 | min= 9 | latest=10 | zero=  0 | zero_ratio=  0.00%
[QueueMonitor] 2025-07-01 00:25:33 | avg= 9.00 | max=10 | min= 8 | latest= 8 | zero=  0 | zero_ratio=  0.00%
[QueueMonitor] 2025-07-01 00:25:34 | avg= 0.59 | max= 9 | min= 0 | latest= 0 | zero=829 | zero_ratio= 90.01%
[QueueMonitor] 2025-07-01 00:25:35 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=914 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:25:36 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=925 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:25:37 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=922 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:25:38 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=939 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:25:39 | avg= 7.36 | max=10 | min= 0 | latest= 0 | zero=107 | zero_ratio= 11.46%
[QueueMonitor] 2025-07-01 00:25:40 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=926 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:25:41 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=913 | zero_ratio=100.00%
